,Method,Dimention,L2,SP,KL,QL
213,GLASSO,100,3.218613,0.598874,6.44401,778.725933
214,GLASSO,100,3.373914,0.626184,7.19116,896.940942
215,GLASSO,100,3.275529,0.585445,6.694272,845.480985
216,GLASSO,100,2.770702,0.685872,5.178458,122.140082
217,GLASSO,100,3.120019,0.565823,6.051306,702.014647
218,GLASSO,100,2.696587,0.617669,4.636806,79.598803
219,GLASSO,100,2.658782,0.601622,4.435842,86.470835
220,GLASSO,100,3.188668,0.584599,6.2701,767.063794
221,GLASSO,100,2.705242,0.612685,4.725559,112.652855
222,GLASSO,100,2.72887,0.640854,4.942048,98.336232
223,GLASSO,100,3.192233,0.609767,6.290666,752.761054
224,GLASSO,100,3.166059,0.565293,6.139042,775.54076
225,GLASSO,100,3.242912,0.555221,6.498748,798.974939
226,GLASSO,100,3.15157,0.561745,6.099684,760.04915
227,GLASSO,100,3.300719,0.57336,6.742682,865.589212
228,GLASSO,100,2.691805,0.630255,4.49712,74.981874
229,GLASSO,100,3.349141,0.606215,7.104079,879.058948
230,GLASSO,100,3.249532,0.582317,6.588026,803.837934
231,GLASSO,100,2.741096,0.662964,4.959002,112.675798
232,GLASSO,100,2.607318,0.594326,4.296383,94.138596
233,GLASSO,100,2.579,0.605825,4.18391,85.088857
234,GLASSO,100,2.625592,0.628817,4.319065,68.787813
235,GLASSO,100,3.345921,0.58001,7.06451,858.912711
236,GLASSO,100,2.840128,0.679732,5.379748,98.353
237,GLASSO,100,3.34647,0.589125,6.996542,870.521449
238,GLASSO,100,2.5455,0.593988,4.052259,66.537778
239,GLASSO,100,2.71211,0.605993,4.775327,137.555136
240,GLASSO,100,3.330909,0.615029,6.944004,884.756386
241,GLASSO,100,2.689661,0.643092,4.806174,105.705838
242,GLASSO,100,2.80733,0.634245,5.146218,112.362614
243,GLASSO,100,2.653103,0.633264,4.399734,80.884665
244,GLASSO,100,2.762879,0.671488,5.06164,100.372772
245,GLASSO,100,2.663733,0.618238,4.580432,110.123305
246,GLASSO,100,3.239814,0.579212,6.53331,771.959902
247,GLASSO,100,2.773122,0.712672,5.111452,133.009926
248,GLASSO,100,2.554137,0.613971,4.108984,103.780408
249,GLASSO,100,3.379416,0.606538,7.267306,865.889836
250,GLASSO,100,2.646242,0.632234,4.558943,96.282143
251,GLASSO,100,3.20349,0.570496,6.362317,794.210641
252,GLASSO,100,3.153775,0.556167,6.136568,741.183693
253,GLASSO,100,2.811973,0.669442,5.198565,107.077351
254,GLASSO,100,2.733114,0.659027,4.933837,143.341862
255,GLASSO,100,3.338471,0.573446,6.969723,857.913021
256,GLASSO,100,3.094135,0.567066,5.846828,705.724172
257,GLASSO,100,2.796732,0.640773,5.063739,105.005226
258,GLASSO,100,2.608786,0.608252,4.320162,98.21952
259,GLASSO,100,3.199368,0.596714,6.35215,774.017648
260,GLASSO,100,3.373286,0.588145,7.104138,918.442319
261,GLASSO,100,2.847907,0.658436,5.328562,103.366037
262,GLASSO,100,3.232172,0.578147,6.500546,790.187873
263,GLASSO,100,3.11466,0.554696,5.937092,723.501804
264,GLASSO,100,3.204744,0.600735,6.335041,789.739983
265,GLASSO,100,3.320428,0.575764,6.908276,852.075845
266,GLASSO,100,2.53413,0.618132,4.037699,72.200436
267,GLASSO,100,2.64763,0.657077,4.496161,78.265167
268,GLASSO,100,2.585847,0.617119,4.306205,95.140912
269,GLASSO,100,2.63848,0.658846,4.525174,89.70741
270,GLASSO,100,2.469704,0.602148,3.669831,49.942951
271,GLASSO,100,3.229505,0.575731,6.505034,765.170556
272,GLASSO,100,2.809711,0.66783,5.20709,109.79017
273,GLASSO,100,2.766126,0.640541,4.943005,96.187763
274,GLASSO,100,3.273209,0.59822,6.686076,836.55587
275,GLASSO,100,3.16274,0.557857,6.095294,771.592299
276,GLASSO,100,3.119532,0.570642,5.961795,716.388705
277,GLASSO,100,2.643379,0.612839,4.386743,55.433589
278,GLASSO,100,2.630809,0.613195,4.438396,112.186651
279,GLASSO,100,2.753247,0.608963,4.841178,91.850437
280,GLASSO,100,2.702184,0.675269,4.77662,114.817793
281,GLASSO,100,2.668802,0.65031,4.445117,51.018218
282,GLASSO,100,3.114815,0.556266,5.92629,729.777234
283,GLASSO,100,2.736617,0.632517,4.813612,101.788412
284,GLASSO,100,3.18917,0.551987,6.243696,786.346229
285,GLASSO,100,3.053489,0.547233,5.716972,671.42225
286,GLASSO,100,2.641531,0.640638,4.460404,67.106126
287,GLASSO,100,2.781257,0.624495,5.044268,110.931448
288,GLASSO,100,2.574972,0.618052,4.230382,73.629858
289,GLASSO,100,2.642368,0.658368,4.584357,121.332306
290,GLASSO,100,2.673349,0.654924,4.583568,104.328588
291,GLASSO,100,3.325614,0.582373,6.936098,854.629695
292,GLASSO,100,2.783118,0.656804,5.008292,142.055802
293,GLASSO,100,3.241515,0.577301,6.510342,804.066436
294,GLASSO,100,2.676073,0.642887,4.60629,101.586393
295,GLASSO,100,2.806061,0.639905,5.052959,72.120865
296,GLASSO,100,3.321591,0.582009,6.932999,851.616445
297,GLASSO,100,2.70122,0.58599,4.586817,86.174275
298,GLASSO,100,3.181183,0.557651,6.219608,760.242605
299,GLASSO,100,2.839058,0.666968,5.235703,109.785662
300,GLASSO,100,3.21735,0.569346,6.387808,796.971844
301,GLASSO-I,20,0.335623,0.260945,0.063168,0.139327
302,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
303,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
304,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
305,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
306,GLASSO-I,20,0.403184,0.298381,0.088587,0.078938
307,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
308,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
309,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
310,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
311,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
312,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
313,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
314,GLASSO-I,20,0.270996,0.141152,0.037578,0.108287
315,GLASSO-I,20,0.251607,0.129389,0.031525,0.008469
316,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
317,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
318,GLASSO-I,20,0.293062,0.214857,0.04475,0.076015
319,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
320,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
321,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
322,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
323,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
324,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
325,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
326,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
327,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
328,GLASSO-I,20,0.2846,0.187428,0.041885,0.006654
329,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
330,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
331,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
332,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
333,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
334,GLASSO-I,20,0.200178,0.087216,0.019857,0.000127
335,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
336,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
337,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
338,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
339,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
340,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
341,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
342,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
343,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
344,GLASSO-I,20,0.261593,0.139708,0.034146,0.00236
345,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
346,GLASSO-I,20,0.245074,0.158654,0.030628,0.044147
347,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
348,GLASSO-I,20,0.705679,0.289454,0.250749,0.148392
349,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
350,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
351,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
352,GLASSO-I,20,0.29749,0.211112,0.047604,0.042813
353,GLASSO-I,20,0.357781,0.307104,0.076256,0.086599
354,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
355,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
356,GLASSO-I,20,0.199594,0.081283,0.019778,0.000115
357,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
358,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
359,GLASSO-I,20,0.219737,0.099781,0.023984,0.000334
360,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
361,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
362,GLASSO-I,20,0.289556,0.168593,0.042008,9.30E-05
363,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
364,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
365,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
366,GLASSO-I,20,0.372135,0.324832,0.083856,0.116636
367,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
368,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
369,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
370,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
371,GLASSO-I,20,0.234788,0.126588,0.027776,0.00296
372,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
373,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
374,GLASSO-I,20,0.284581,0.161834,0.040647,0.000111
375,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
